Level	Amazon	Sorceress	Necromancer	Paladin	Barbarian	Druid	Assassin	ExpRatio
38	7734267	7734267	7734267	7734267	7734267	7734267	7734267	1024
39	8635396	8635396	8635396	8635396	8635396	8635396	8635396	1024
40	9617626	9617626	9617626	9617626	9617626	9617626	9617626	1024
41	10688258	10688258	10688258	10688258	10688258	10688258	10688258	1024
42	11855246	11855246	11855246	11855246	11855246	11855246	11855246	1024
43	13127263	13127263	13127263	13127263	13127263	13127263	13127263	1024
44	14513761	14513761	14513761	14513761	14513761	14513761	14513761	1024
45	16025044	16025044	16025044	16025044	16025044	16025044	16025044	1024
46	17672343	17672343	17672343	17672343	17672343	17672343	17672343	1024
47	19467899	19467899	19467899	19467899	19467899	19467899	19467899	1024
48	21425055	21425055	21425055	21425055	21425055	21425055	21425055	1024
49	23558355	23558355	23558355	23558355	23558355	23558355	23558355	1024
50	25883651	25883651	25883651	25883651	25883651	25883651	25883651	1024
51	28418225	28418225	28418225	28418225	28418225	28418225	28418225	1024
52	31180910	31180910	31180910	31180910	31180910	31180910	31180910	1024
53	34192237	34192237	34192237	34192237	34192237	34192237	34192237	1024
54	37474583	37474583	37474583	37474583	37474583	37474583	37474583	1024
55	41052340	41052340	41052340	41052340	41052340	41052340	41052340	1024
56	44952096	44952096	44952096	44952096	44952096	44952096	44952096	1024
57	49202829	49202829	49202829	49202829	49202829	49202829	49202829	1024
58	53836128	53836128	53836128	53836128	53836128	53836128	53836128	1024
59	58886425	58886425	58886425	58886425	58886425	58886425	58886425	1024
60	64391248	64391248	64391248	64391248	64391248	64391248	64391248	1024
61	70391505	70391505	70391505	70391505	70391505	70391505	70391505	1024
62	76931785	76931785	76931785	76931785	76931785	76931785	76931785	1024
63	84060691	84060691	84060691	84060691	84060691	84060691	84060691	1024
64	91831198	91831198	91831198	91831198	91831198	91831198	91831198	1024
65	100301051	100301051	100301051	100301051	100301051	100301051	100301051	1024
66	109533190	109533190	109533190	109533190	109533190	109533190	109533190	1024
67	119596222	119596222	119596222	119596222	119596222	119596222	119596222	1024
68	130564927	130564927	130564927	130564927	130564927	130564927	130564927	1024
69	142520815	142520815	142520815	142520815	142520815	142520815	142520815	1024
70	155552733	155552733	155552733	155552733	155552733	155552733	155552733	1024
71	169757524	169757524	169757524	169757524	169757524	169757524	169757524	1024
72	185240746	185240746	185240746	185240746	185240746	185240746	185240746	1024
73	202117458	202117458	202117458	202117458	202117458	202117458	202117458	1024
74	220513074	220513074	220513074	220513074	220513074	220513074	220513074	1024
75	240564296	240564296	240564296	240564296	240564296	240564296	240564296	1024
76	262420127	262420127	262420127	262420127	262420127	262420127	262420127	1024
77	286242984	286242984	286242984	286242984	286242984	286242984	286242984	1024
78	312209897	312209897	312209897	312209897	312209897	312209897	312209897	1024
79	340513833	340513833	340513833	340513833	340513833	340513833	340513833	1024
80	371365122	371365122	371365122	371365122	371365122	371365122	371365122	1024
81	404993028	404993028	404993028	404993028	404993028	404993028	404993028	1024
82	441647446	441647446	441647446	441647446	441647446	441647446	441647446	1024
83	481600761	481600761	481600761	481600761	481600761	481600761	481600761	1024
84	525149874	525149874	525149874	525149874	525149874	525149874	525149874	1024
85	572618407	572618407	572618407	572618407	572618407	572618407	572618407	1024
86	624359109	624359109	624359109	624359109	624359109	624359109	624359109	1024
87	680756473	680756473	680756473	680756473	680756473	680756473	680756473	1024
88	742229601	742229601	742229601	742229601	742229601	742229601	742229601	1024
89	809235310	809235310	809235310	809235310	809235310	809235310	809235310	1024
90	882271533	882271533	882271533	882271533	882271533	882271533	882271533	1024
91	961881015	961881015	961881015	961881015	961881015	961881015	961881015	1024
92	1048655352	1048655352	1048655352	1048655352	1048655352	1048655352	1048655352	1024
93	1143239378	1143239378	1143239378	1143239378	1143239378	1143239378	1143239378	1024
94	1246335967	1246335967	1246335967	1246335967	1246335967	1246335967	1246335967	1024
95	1358711249	1358711249	1358711249	1358711249	1358711249	1358711249	1358711249	1024
96	1481200306	1481200306	1481200306	1481200306	1481200306	1481200306	1481200306	1024
97	1614713378	1614713378	1614713378	1614713378	1614713378	1614713378	1614713378	1024
98	1760242627	1760242627	1760242627	1760242627	1760242627	1760242627	1760242627	1024
99	1918869509	1918869509	1918869509	1918869509	1918869509	1918869509	1918869509	1024
