Level	AC	AC(N)	AC(H)	L-AC	L-AC(N)	L-AC(H)	TH	TH(N)	TH(H)	L-TH	L-TH(N)	L-TH(H)	HP	HP(N)	HP(H)	L-HP	L-HP(N)	L-HP(H)	DM	DM(N)	DM(H)	L-DM	L-DM(N)	L-DM(H)	XP	XP(N)	XP(H)	L-XP	L-XP(N)	L-XP(H)
27	364	804	1206	364	945	1417	621	1296	2709	621	1296	2709	192	463	2388	192	463	3183	37	49	67	36	48	66	538	1397	2096	538	1397	2096
28	378	825	1239	378	972	1458	645	1336	2794	645	1336	2794	202	472	2425	202	472	3234	39	52	73	37	51	72	576	1494	2241	576	1494	2241
29	391	849	1273	391	999	1498	670	1377	2880	670	1377	2880	213	483	2463	213	483	3285	40	55	76	39	54	75	616	1598	2397	616	1598	2397
30	405	873	1308	405	1026	1536	696	1417	2965	696	1417	2965	226	540	2500	226	540	3334	40	55	76	39	54	75	659	1709	2564	659	1709	2564
31	418	895	1341	418	1053	1578	720	1458	3051	720	1458	3051	240	598	2541	240	598	3387	43	58	82	42	57	81	706	1832	2748	706	1832	2748
32	432	918	1372	432	1080	1615	744	1498	3136	744	1498	3136	253	654	2577	253	654	3435	43	58	82	42	57	81	755	1958	2937	755	1958	2937
33	445	940	1408	445	1107	1656	769	1539	3222	769	1539	3222	267	714	2616	267	714	3487	46	61	85	45	60	84	808	2097	3146	808	2097	3146
34	459	963	1443	459	1134	1696	795	1579	3307	795	1579	3307	280	769	2652	280	769	3537	48	64	91	46	63	90	864	2241	3362	864	2241	3362
35	472	987	1473	472	1161	1734	819	1620	3393	819	1620	3393	294	828	2691	294	828	3588	48	64	91	46	63	90	925	2399	3599	925	2399	3599
36	486	1011	1509	486	1188	1776	843	1660	3478	843	1660	3478	307	886	2730	307	886	3639	49	67	94	48	66	93	990	2568	3852	990	2568	3852
37	499	1032	1542	499	1215	1813	868	1701	3564	868	1701	3564	321	942	2767	321	942	3690	49	67	94	48	66	93	1059	2745	4118	1059	2745	4118
38	513	1056	1575	513	1242	1854	894	1741	3649	894	1741	3649	334	1002	2805	334	1002	3739	52	70	97	51	69	96	1133	2939	4409	1133	2939	4409
39	526	1077	1611	526	1269	1894	918	1782	3735	918	1782	3735	348	1057	2844	348	1057	3792	55	73	102	54	72	100	1212	3144	4716	1212	3144	4716
40	540	1102	1642	540	1296	1932	942	1822	3820	942	1822	3820	363	1116	2880	363	1116	3840	55	73	102	54	72	100	1297	3365	5048	1297	3365	5048
41	553	1125	1677	553	1323	1974	967	1863	3906	967	1863	3906	381	1174	2919	381	1174	3892	57	76	106	55	75	105	1388	3600	5400	1388	3600	5400
42	567	1147	1710	567	1350	2011	993	1903	3991	993	1903	3991	394	1230	2956	394	1230	3942	57	76	106	55	75	105	1485	3852	5778	1485	3852	5778
43	580	1170	1743	580	1377	2052	1017	1944	4077	1017	1944	4077	409	1290	2994	409	1290	3993	58	79	111	57	78	109	1589	4121	6182	1589	4121	6182
44	594	1192	1779	594	1404	2092	1041	1984	4162	1041	1984	4162	427	1345	3033	427	1345	4044	61	82	115	60	81	114	1693	4409	6614	1693	4409	6614
45	607	1218	1812	607	1431	2130	1066	2025	4248	1066	2025	4248	442	1404	3072	442	1404	4095	61	82	115	60	81	114	1797	4718	7077	1797	4718	7077
46	621	1239	1845	621	1458	2172	1092	2065	4333	1092	2065	4333	456	1462	3108	456	1462	4144	64	85	120	63	84	118	1901	5051	7577	1901	5051	7577
47	634	1263	1878	634	1485	2209	1116	2106	4419	1116	2106	4419	474	1518	3147	474	1518	4197	64	85	120	63	84	118	2005	5402	8103	2005	5402	8103
48	648	1284	1912	648	1512	2250	1140	2146	4504	1140	2146	4504	489	1578	3183	489	1578	4245	66	88	124	64	87	123	2109	5783	8675	2109	5783	8675
49	661	1308	1947	661	1539	2290	1165	2187	4590	1165	2187	4590	504	1633	3223	504	1633	4297	67	91	127	66	90	126	2213	6186	9279	2213	6186	9279
50	675	1332	1980	675	1566	2328	1191	2227	4675	1191	2227	4675	523	1692	3261	523	1692	4347	67	91	127	66	90	126	2317	6618	9927	2317	6618	9927
51	688	1354	2013	688	1593	2370	1215	2268	4761	1215	2268	4761	543	1750	3298	543	1750	4398	70	94	130	69	93	129	2421	7080	10620	2421	7080	10620
52	702	1377	2047	702	1620	2407	1239	2308	4846	1239	2308	4846	558	1806	3336	558	1806	4449	70	94	130	69	93	129	2525	7506	11259	2525	7506	11259
53	715	1399	2082	715	1647	2448	1264	2349	4932	1264	2349	4932	577	1866	3375	577	1866	4500	73	97	136	72	96	135	2629	7956	11934	2629	7956	11934
54	729	1422	2115	729	1674	2488	1290	2389	5017	1290	2389	5017	594	1921	3426	594	1921	4567	75	100	139	73	99	138	2733	8435	12653	2733	8435	12653
55	742	1446	2148	742	1701	2526	1314	2430	5103	1314	2430	5103	612	1980	3501	612	1980	4668	75	100	139	73	99	138	2837	8942	13413	2837	8942	13413
56	756	1470	2182	756	1728	2568	1338	2470	5188	1338	2470	5188	631	2038	3603	631	2038	4803	76	103	145	75	102	144	2941	9477	14216	2941	9477	14216
57	769	1491	2214	769	1755	2605	1363	2511	5274	1363	2511	5274	648	2094	3750	648	2094	4998	76	103	145	75	102	144	3045	10044	15066	3045	10044	15066
58	783	1515	2250	783	1782	2646	1389	2551	5359	1389	2551	5359	666	2154	3894	666	2154	5193	79	106	148	78	105	147	3149	10647	15971	3149	10647	15971
59	796	1536	2283	796	1809	2686	1413	2592	5445	1413	2592	5445	685	2209	4039	685	2209	5386	82	109	151	81	108	150	3253	11286	16929	3253	11286	16929
60	810	1561	2316	810	1836	2724	1437	2632	5530	1437	2632	5530	705	2268	4185	705	2268	5580	82	109	151	81	108	150	3357	11964	17946	3357	11964	17946
61	823	1584	2352	823	1863	2766	1462	2673	5616	1462	2673	5616	726	2326	4332	726	2326	5775	84	112	156	82	111	154	3461	12680	19020	3461	12680	19020
62	837	1606	2382	837	1890	2803	1488	2713	5701	1488	2713	5701	745	2382	4477	745	2382	5970	84	112	156	82	111	154	3565	13442	20163	3565	13442	20163
63	850	1629	2416	850	1917	2844	1512	2754	5787	1512	2754	5787	766	2442	4621	766	2442	6162	85	115	160	84	114	159	3669	14249	21374	3669	14249	21374
64	864	1651	2452	864	1944	2884	1536	2794	5872	1536	2794	5872	786	2497	4767	786	2497	6357	85	115	160	84	114	159	3773	15104	22656	3773	15104	22656
65	877	1677	2484	877	1971	2922	1561	2835	5958	1561	2835	5958	805	2556	4914	805	2556	6550	88	118	165	87	117	163	3877	16010	24015	3877	16010	24015
66	891	1698	2517	891	1998	2964	1587	2875	6043	1587	2875	6043	825	2614	5059	825	2614	6745	91	121	169	90	120	168	3981	16916	25374	3981	16916	25374
67	904	1722	2551	904	2025	3001	1611	2916	6129	1611	2916	6129	846	2670	5205	846	2670	6939	91	121	169	90	120	168	4085	17822	26733	4085	17822	26733
68	918	1743	2586	918	2052	3042	1635	2956	6214	1635	2956	6214	867	2730	5349	867	2730	7132	93	124	174	91	123	172	4189	18728	28092	4189	18728	28092
69	931	1767	2622	931	2079	3082	1660	2997	6300	1660	2997	6300	886	2785	5496	886	2785	7327	94	127	178	93	126	177	4293	19634	29451	4293	19634	29451
70	945	1791	2652	945	2106	3120	1686	3037	6385	1686	3037	6385	909	2844	5640	909	2844	7521	94	127	178	93	126	177	4397	20540	30810	4397	20540	30810
71	958	1813	2686	958	2133	3162	1710	3078	6471	1710	3078	6471	931	2902	5787	931	2902	7716	97	130	181	96	129	180	4501	21446	32169	4501	21446	32169
72	972	1836	2721	972	2160	3199	1734	3118	6556	1734	3118	6556	954	2958	5931	954	2958	7908	97	130	181	96	129	180	4605	22352	33528	4605	22352	33528
73	985	1858	2754	985	2187	3240	1759	3159	6642	1759	3159	6642	976	3018	6078	976	3018	8103	100	133	184	99	132	183	4709	23258	34887	4709	23258	34887
74	999	1881	2787	999	2214	3280	1785	3199	6727	1785	3199	6727	999	3073	6223	999	3073	8298	102	136	190	100	135	189	4813	24164	36246	4813	24164	36246
75	1012	1905	2821	1012	2241	3318	1809	3240	6813	1809	3240	6813	1021	3132	6369	1021	3132	8491	102	136	190	100	135	189	4917	25070	37605	4917	25070	37605
76	1026	1929	2856	1026	2268	3360	1833	3280	6898	1833	3280	6898	1042	3190	6513	1042	3190	8685	103	139	193	102	138	192	5021	25976	38964	5021	25976	38964
77	1039	1950	2889	1039	2295	3397	1858	3321	6984	1858	3321	6984	1066	3246	6660	1066	3246	8880	103	139	193	102	138	192	5125	26882	40323	5125	26882	40323
78	1053	1974	2922	1053	2322	3438	1884	3361	7069	1884	3361	7069	1089	3306	6807	1089	3306	9075	106	142	199	105	141	198	5229	27788	41682	5229	27788	41682
79	1066	1995	2956	1066	2349	3478	1908	3402	7155	1908	3402	7155	1110	3361	6951	1110	3361	9267	109	145	202	108	144	201	5333	28694	43041	5333	28694	43041
80	1080	2020	2991	1080	2376	3516	1932	3442	7240	1932	3442	7240	1137	3420	7096	1137	3420	9462	109	145	202	108	144	201	5437	29600	44400	5437	29600	44400
81	1093	2043	3024	1093	2403	3558	1957	3483	7326	1957	3483	7326	1161	3478	7242	1161	3478	9655	111	148	208	109	147	207	5541	30506	45759	5541	30506	45759
82	1107	2065	3055	1107	2430	3595	1983	3523	7411	1983	3523	7411	1185	3534	7387	1185	3534	9850	111	148	208	109	147	207	5645	31412	47118	5645	31412	47118
83	1120	2088	3091	1120	2457	3636	2007	3564	7497	2007	3564	7497	1210	3594	7533	1210	3594	10044	112	151	210	111	150	208	5749	32318	48477	5749	32318	48477
84	1134	2110	3126	1134	2484	3676	2031	3604	7582	2031	3604	7582	1236	3649	7678	1236	3649	10237	112	151	210	111	150	208	5853	33224	49836	5853	33224	49836
85	1147	2136	3156	1147	2511	3714	2056	3645	7668	2056	3645	7668	1258	3708	7825	1258	3708	10432	115	154	214	114	153	213	5957	34130	51195	5957	34130	51195
86	1161	2157	3192	1161	2538	3756	2082	3685	7753	2082	3685	7753	1284	3766	7969	1284	3766	10626	118	156	219	117	154	217	6061	35036	52554	6061	35036	52554
87	1174	2181	3225	1174	2565	3793	2106	3726	7839	2106	3726	7839	1308	3822	8115	1308	3822	10821	118	156	219	117	154	217	6165	35942	53913	6165	35942	53913
88	1188	2202	3258	1188	2592	3834	2130	3766	7924	2130	3766	7924	1333	3882	8259	1333	3882	11013	120	160	223	118	159	222	6269	36848	55272	6269	36848	55272
89	1201	2226	3294	1201	2619	3874	2155	3807	8010	2155	3807	8010	1359	3937	8407	1359	3937	11208	121	163	228	120	162	226	6373	37754	56631	6373	37754	56631
90	1215	2250	3325	1215	2646	3912	2181	3847	8095	2181	3847	8095	1386	3996	8553	1386	3996	11403	121	163	228	120	162	226	6477	38660	57990	6477	38660	57990
91	1228	2272	3360	1228	2673	3954	2205	3888	8181	2205	3888	8181	1413	4054	8697	1413	4054	11596	124	165	232	123	163	231	6581	39566	59349	6581	39566	59349
92	1242	2295	3393	1242	2700	3991	2229	3928	8266	2229	3928	8266	1440	4110	8842	1440	4110	11790	124	165	232	123	163	231	6685	40472	60708	6685	40472	60708
93	1255	2317	3426	1255	2727	4032	2254	3969	8352	2254	3969	8352	1464	4170	8988	1464	4170	11985	127	169	235	126	168	234	6789	41378	62067	6789	41378	62067
94	1269	2340	3462	1269	2754	4072	2280	4009	8437	2280	4009	8437	1491	4225	9135	1491	4225	12180	129	172	238	127	171	237	6893	42284	63426	6893	42284	63426
95	1282	2364	3495	1282	2781	4110	2304	4050	8523	2304	4050	8523	1518	4284	9279	1518	4284	12372	129	172	238	127	171	237	6997	43190	64785	6997	43190	64785
96	1296	2388	3528	1296	2808	4152	2328	4090	8608	2328	4090	8608	1545	4342	9426	1545	4342	12567	130	174	244	129	172	243	7101	44096	66144	7101	44096	66144
97	1309	2409	3561	1309	2835	4189	2353	4131	8694	2353	4131	8694	1572	4398	9571	1572	4398	12760	130	174	244	129	172	243	7205	45002	67503	7205	45002	67503
98	1323	2433	3595	1323	2862	4230	2379	4171	8779	2379	4171	8779	1599	4458	9717	1599	4458	12955	133	178	247	132	177	246	7309	45908	68862	7309	45908	68862
99	1336	2454	3630	1336	2889	4270	2403	4212	8865	2403	4212	8865	1626	4513	9861	1626	4513	13149	133	178	247	132	177	246	7413	46814	70221	7413	46814	70221
100	1350	2479	3663	1350	2916	4308	2427	4252	8950	2427	4252	8950	1657	4572	10006	1657	4572	13342	136	181	253	135	180	252	7517	47720	71580	7517	47720	71580
101	1363	2502	3696	1363	2943	4350	2452	4293	9036	2452	4293	9036	1686	4630	10155	1686	4630	13537	138	183	256	136	181	255	7621	48626	72939	7621	48626	72939
102	1377	2524	3730	1377	2970	4387	2478	4333	9121	2478	4333	9121	1714	4686	10299	1714	4686	13731	138	183	256	136	181	255	7725	49532	74298	7725	49532	74298
103	1390	2547	3765	1390	2997	4428	2502	4374	9207	2502	4374	9207	1743	4746	10444	1743	4746	13926	139	187	262	138	186	261	7829	50438	75657	7829	50438	75657
104	1404	2569	3798	1404	3024	4468	2526	4414	9292	2526	4414	9292	1773	4801	10588	1773	4801	14118	139	187	262	138	186	261	7933	51344	77016	7933	51344	77016
105	1417	2595	3831	1417	3051	4506	2551	4455	9378	2551	4455	9378	1803	4860	10735	1803	4860	14313	142	190	264	141	189	262	8037	52250	78375	8037	52250	78375
106	1431	2616	3865	1431	3078	4548	2577	4495	9463	2577	4495	9463	1831	4918	10881	1831	4918	14508	145	192	268	144	190	267	8141	53156	79734	8141	53156	79734
107	1444	2640	3897	1444	3105	4585	2601	4536	9549	2601	4536	9549	1860	4974	11026	1860	4974	14701	145	192	268	144	190	267	8245	54062	81093	8245	54062	81093
108	1458	2661	3933	1458	3132	4626	2625	4576	9634	2625	4576	9634	1890	5034	11172	1890	5034	14895	147	196	273	145	195	271	8349	54968	82452	8349	54968	82452
109	1471	2685	3966	1471	3159	4666	2650	4617	9720	2650	4617	9720	1920	5089	11317	1920	5089	15090	148	199	277	147	198	276	8453	55874	83811	8453	55874	83811
110	3150	3150	3150	3150	3150	3150	9798	9798	9798	9798	9798	9798	15000	15000	15000	15000	15000	15000	195	195	195	195	195	195	160000	160000	160000	160000	160000	160000
